city,state,population
Gresham,OR,113525
League City,TX,113469
Odessa,TX,113353
Peoria,IL,113054
Downey,CA,113052
Lansing,MI,112986
Murrieta,CA,111899
Pompano Beach,FL,111790
Miami Gardens,FL,111618
Costa Mesa,CA,111490
Pueblo,CO,111430
Las Cruces,NM,111273
Ponce zona urbana,PR,110867
Everett,WA,110847
San Buenaventura (Ventura),CA,110358
Temecula,CA,110114
Sugar Land,TX,110077
Santa Maria,CA,109543
El Monte,CA,108682
Dearborn,MI,108414
West Covina,CA,108173
Sparks,NV,108025
Greeley,CO,107949
South Fulton,GA,107865
Centennial,CO,107702
Sandy Springs,GA,107221
Green Bay,WI,106846
Inglewood,CA,106806
Hillsboro,OR,106612
Columbia CDP,MD,106600
Boulder,CO,106598
Tyler,TX,106440
Burbank,CA,106389
Davie town,FL,105821
Tuscaloosa,AL,105797
El Cajon,CA,105721
Jurupa Valley,CA,105672
Allen,TX,105444
Renton,WA,105355
Concord,NC,105335
Brockton,MA,104713
Rio Rancho,NM,104351
San Mateo,CA,104165
Rialto,CA,103873
Spokane Valley,WA,103761
Menifee,CA,103680
Daly City,CA,103648
South Bend,IN,103084
Chico,CA,102790
Nampa,ID,102598
Wichita Falls,TX,102482
Riverview CDP,FL,102467
Norwalk,CA,101893
Lee's Summit,MO,101728
Vacaville,CA,101631
Highlands Ranch CDP,CO,101514
Davenport,IA,101448
San Tan Valley CDP,AZ,101207
Quincy,MA,100981
Edinburg,TX,100964
Lynn,MA,100653
New Bedford,MA,100620
